W W W W W W W W W W W W W W W W W W W W W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F F F F F F F F F F F W
W F F F F F F F F F W F F F F F F F S F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W W W W W W W F W W W W W F W W W W W W W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F G F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F F F F F F F F F W
W W W W W W W W W W W W W W W W W W W W W
